high,neg,pos,word,pct_neg,pct_pos
9.6,1.0,9.6,network,0.09433962264150944,0.9056603773584906
9.6,1.0,9.6,chrome,0.09433962264150944,0.9056603773584906
8.1,8.1,1.0,need,0.8901098901098901,0.10989010989010989
7.8,7.8,1.0,had,0.8863636363636362,0.11363636363636363
7.4,7.4,1.0,since,0.8809523809523809,0.11904761904761904
7.1,1.0,7.1,GoogleAI,0.1234567901234568,0.8765432098765432
7.1,1.0,7.1,Are,0.1234567901234568,0.8765432098765432
7.1,1.0,7.1,yandex,0.1234567901234568,0.8765432098765432
7.1,1.0,7.1,webspacex,0.1234567901234568,0.8765432098765432
7.1,1.0,7.1,BaiduResearch,0.1234567901234568,0.8765432098765432
7.1,1.0,7.1,Cointelegraph,0.1234567901234568,0.8765432098765432
7.1,1.0,7.1,TamaraMcCleary,0.1234567901234568,0.8765432098765432
6.5,1.0,6.5,t.co/NaHbQpI1PG,0.13333333333333333,0.8666666666666667
6.5,1.0,6.5,best,0.13333333333333333,0.8666666666666667
6.5,1.0,6.5,t.co/7uOXDvNY0j,0.13333333333333333,0.8666666666666667
5.8,1.0,5.8,response,0.14705882352941177,0.8529411764705882
5.8,1.0,5.8,Hi,0.14705882352941177,0.8529411764705882
5.8,1.0,5.8,CryptoCoinsNews,0.14705882352941177,0.8529411764705882
5.8,1.0,5.8,notes,0.14705882352941177,0.8529411764705882
5.8,1.0,5.8,bing,0.14705882352941177,0.8529411764705882
5.8,1.0,5.8,free,0.14705882352941177,0.8529411764705882
5.7,5.7,1.0,does,0.8507462686567164,0.14925373134328357
5.4,5.4,1.0,ca,0.84375,0.15625
5.0,5.0,1.0,every,0.8333333333333334,0.16666666666666666
4.7,4.7,1.0,So,0.8245614035087719,0.17543859649122806
4.7,4.7,1.0,could,0.8245614035087719,0.17543859649122806
4.5,1.0,4.5,color,0.18181818181818182,0.8181818181818182
4.5,1.0,4.5,view,0.18181818181818182,0.8181818181818182
4.5,1.0,4.5,augustf,0.18181818181818182,0.8181818181818182
4.5,1.0,4.5,preferences,0.18181818181818182,0.8181818181818182
4.5,1.0,4.5,projects,0.18181818181818182,0.8181818181818182
4.5,1.0,4.5,truth,0.18181818181818182,0.8181818181818182
4.5,1.0,4.5,person,0.18181818181818182,0.8181818181818182
4.5,1.0,4.5,profiles,0.18181818181818182,0.8181818181818182
4.5,1.0,4.5,Adobe,0.18181818181818182,0.8181818181818182
4.5,1.0,4.5,suggestion,0.18181818181818182,0.8181818181818182
4.5,1.0,4.5,purpleidea,0.18181818181818182,0.8181818181818182
4.5,1.0,4.5,acruiz,0.18181818181818182,0.8181818181818182
4.2,1.0,4.2,thank,0.1923076923076923,0.8076923076923077
4.0,4.0,1.0,make,0.8,0.2
3.9,3.9,1.0,no,0.7959183673469387,0.2040816326530612
3.9,1.0,3.9,fxhelp,0.2040816326530612,0.7959183673469387
3.7,3.7,1.0,from,0.7872340425531915,0.2127659574468085
3.7,1.0,3.7,re,0.2127659574468085,0.7872340425531915
3.7,3.7,1.0,n't,0.7872340425531915,0.2127659574468085
3.6,1.0,3.6,check,0.2173913043478261,0.782608695652174
3.6,3.6,1.0,working,0.782608695652174,0.2173913043478261
3.5,1.0,3.5,Go,0.2222222222222222,0.7777777777777778
3.5,1.0,3.5,Yahoo,0.2222222222222222,0.7777777777777778
3.5,3.5,1.0,my,0.7777777777777778,0.2222222222222222
3.4,3.4,1.0,because,0.7727272727272726,0.22727272727272727
3.3,3.3,1.0,too,0.7674418604651163,0.23255813953488372
3.3,3.3,1.0,Mozilla,0.7674418604651163,0.23255813953488372
3.3,3.3,1.0,restore,0.7674418604651163,0.23255813953488372
3.3,3.3,1.0,sync,0.7674418604651163,0.23255813953488372
3.3,3.3,1.0,file,0.7674418604651163,0.23255813953488372
3.3,3.3,1.0,before,0.7674418604651163,0.23255813953488372
3.3,3.3,1.0,Just,0.7674418604651163,0.23255813953488372
3.2,1.0,3.2,maybe,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,versions,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,test,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,Reader,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,heytoomey,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,part,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,WebspaceX,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,world,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,Use,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,somewhere,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,bit,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,100,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,avenant_m,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,child,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,results,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,Bookmark,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,SwitchToFirefox,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,love,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,media,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,Check,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,Adblock,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,general,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,blocker,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,Microsoft,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,profit,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,Win,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,suggest,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,Bitdefender,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,source,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,pathaksudh,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,workaround,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,Help,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,chromium,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,changed,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,container,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,dark,0.23809523809523808,0.7619047619047619
3.2,1.0,3.2,Add-on,0.23809523809523808,0.7619047619047619
3.1,3.1,1.0,was,0.7560975609756099,0.24390243902439027
3.0,1.0,3.0,learn,0.25,0.75
3.0,1.0,3.0,Thank,0.25,0.75
3.0,3.0,1.0,And,0.75,0.25
10.9,1.0,10.9,pieterratering,0.08403361344537814,0.9159663865546218
